ESITO;VIA.INPUT;COMUNE.INPUT;PV.INPUT;CAP.INPUT;ID.INPUT;X.PV.;X.COMUNE...................................;X.DUG.......................;X.TOPONIMO...........................................;X.CIVICO..........;X.RI.;X.PI..;X.CI..;X.CAP...;X.EST.GB..;X.NORD.GB.;X.LATITUDINE;X.LONGITUDINE;X.DISTC.;X.SEZ2001.;X.XCTD01..;X.YCTD01..;X.FONTE.;X.CHIAVE.....;X.CODICE.TOPONIMO..;X.DESCRIZIONE.ESITO...................................
0;'PIAZZA SACCO E VANZETTI                                               ';'Carrara                                 ';'MS';'54033 ';'9060201   ';'MS';'CARRARA                                 ';'PIAZZA                   ';'SACCO E VANZETTI                                  ';'0              ';9;45;3;54033;1588344;4881369;'44.080005  ';'10.103039  ';'2    ';0;0;0;'RT   ';'9060201   ';'RT04500313376TO ';'INDIRIZZO RICONOSCIUTO SUL CIVICO                  '
0;'SALITA S.FRANCESCO 1                                                  ';'Fivizzano                               ';'MS';'54013 ';'9060101   ';'MS';'FIVIZZANO                               ';'VIA                      ';'FRANCESCO PETRARCA                                ';'1              ';9;45;7;54013;1589248;4902106;'44.266562  ';'10.117847  ';'     ';'       ';'       ';'       ';'RT   ';'9060101   ';'RT04500701028TO ';'INDIRIZZO RICONOSCIUTO SUL CIVICO                  '
0;'Via Aurelia Sud - Montepepe                                           ';'Massa                                   ';'MS';'54100 ';'9090702   ';'MS';'MASSA                                   ';'VIA                      ';'MONTEPEPE                                         ';'0              ';9;45;10;54100;1592216;4874917;'44.021459  ';'10.150261  ';'6    ';0;0;0;'RT   ';'9090702   ';'RT04501001216TO ';'INDIRIZZO RICONOSCIUTO SUL CIVICO                  '
0;'Via istriana N°24                                                     ';'Massa                                   ';'MS';'54100 ';'9024101   ';'MS';'MASSA                                   ';'VIA                      ';'ISTRIANA                                          ';'24             ';9;45;10;54100;1587069;4874425;'44.017657  ';'10.085973  ';'-8   ';0;0;0;'RT   ';'9024101   ';'RT04501001108TO ';'INDIRIZZO RICONOSCIUTO SUL CIVICO                  '
0;'VIA ORECCHIA                                                          ';'Massa                                   ';'MS';'54100 ';'9060203   ';'MS';'MASSA                                   ';'VIA                      ';'ORECCHIA                                          ';'0              ';9;45;10;54100;1591653;4875835;'44.029791  ';'10.143393  ';'5    ';0;0;0;'RT   ';'9060203   ';'RT04501014164TO ';'INDIRIZZO RICONOSCIUTO SUL CIVICO                  '
0;'LOC. CAMPO DI MARTE                                                   ';'Lucca                                   ';'LU';'55100 ';'9060401   ';'LU';'LUCCA                                   ';'STRADA VICINALE          ';'DI CAPO                                           ';'0              ';9;46;17;55100;1615861;4857767;'43.863744  ';'10.441463  ';'209  ';0;0;0;'RT   ';'9060401   ';'RT04601704111TO ';'INDIRIZZO RICONOSCIUTO SUL CIVICO                  '
0;'VIA AURELIA, 335                                                      ';'Camaiore                                ';'LU';'55043 ';'9064001   ';'LU';'CAMAIORE                                ';'VIA                      ';'AURELIA                                           ';'335            ';9;46;5;55041;1598536;4862247;'43.906593  ';'10.226749  ';'-114 ';0;0;0;'RT   ';'9064001   ';'RT04600502790TO ';'INDIRIZZO RICONOSCIUTO SUL CIVICO                  '
0;'VIA BORDOGNA, 144-NOZZANO                                             ';'Lucca                                   ';'LU';'55050 ';'9020601   ';'LU';'LUCCA                                   ';'VIA                      ';'DELLA BORDOGNA                                    ';'144            ';9;46;17;55100;1614375;4855369;'43.842399  ';'10.422462  ';'0    ';0;0;0;'RT   ';'9020601   ';'RT04601704304TO ';'INDIRIZZO RICONOSCIUTO SUL CIVICO                  '
0;'VIA DEL CALCIO, 2                                                     ';'Lucca                                   ';'LU';'55100 ';'9020401   ';'LU';'LUCCA                                   ';'VIA                      ';'DEL CALCIO                                        ';'2              ';9;46;17;55100;1621436;4855422;'43.841743  ';'10.510281  ';'2    ';0;0;0;'RT   ';'9020401   ';'RT04601704234TO ';'INDIRIZZO RICONOSCIUTO SUL CIVICO                  '
0;'VIA DEL PANIFICIO, 13                                                 ';'Lucca                                   ';'LU';'55100 ';'9020501   ';'LU';'LUCCA                                   ';'VIA                      ';'DEL PANIFICIO                                     ';'13             ';9;46;17;55100;1620736;4855839;'43.845616  ';'10.501675  ';'-2   ';0;0;0;'RT   ';'9020501   ';'RT04601704268TO ';'INDIRIZZO RICONOSCIUTO SUL CIVICO                  '
